person/_id,person/_x,person/_y,person/_angle,person/_speed,person/_pos,person/_edge,person/_slope,person/_type,container/_id,container/_x,container/_y,container/_angle,container/_speed,container/_pos,container/_edge,container/_slope,container/_type,_time,vehicle/0/_id,vehicle/0/_x,vehicle/0/_y,vehicle/0/_angle,vehicle/0/_type,vehicle/0/_speed,vehicle/0/_pos,vehicle/0/_lane,vehicle/0/_slope,vehicle/1/_id,vehicle/1/_x,vehicle/1/_y,vehicle/1/_angle,vehicle/1/_type,vehicle/1/_speed,vehicle/1/_pos,vehicle/1/_lane,vehicle/1/_slope
p_3,-62.92,-3.09,89.85,0.00,0.00,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,0.00,,,,,,,,,,,,,,,,,,
p_3,-61.71,-3.09,89.85,1.21,1.21,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,1.00,,,,,,,,,,,,,,,,,,
p_3,-60.45,-3.08,89.85,1.26,2.47,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,2.00,,,,,,,,,,,,,,,,,,
p_3,-58.99,-3.08,89.85,1.46,3.93,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,3.00,,,,,,,,,,,,,,,,,,
p_3,-57.66,-3.08,89.85,1.33,5.26,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,4.00,,,,,,,,,,,,,,,,,,
p_3,-56.36,-3.07,89.85,1.30,6.56,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,5.00,,,,,,,,,,,,,,,,,,
p_3,-54.90,-3.07,89.85,1.46,8.02,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,6.00,,,,,,,,,,,,,,,,,,
p_3,-53.65,-3.07,89.85,1.25,9.27,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,7.00,,,,,,,,,,,,,,,,,,
p_3,-52.25,-3.06,89.85,1.40,10.67,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,8.00,,,,,,,,,,,,,,,,,,
p_3,-50.94,-3.06,89.85,1.31,11.98,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,9.00,,,,,,,,,,,,,,,,,,
p_3,-49.68,-3.06,89.85,1.25,13.23,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,10.00,,,,,,,,,,,,,,,,,,
p_3,-48.21,-3.05,89.85,1.47,14.70,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,11.00,,,,,,,,,,,,,,,,,,
p_3,-46.94,-3.05,89.85,1.27,15.98,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,12.00,,,,,,,,,,,,,,,,,,
p_3,-45.61,-3.04,89.85,1.33,17.31,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,13.00,,,,,,,,,,,,,,,,,,
p_3,-44.27,-3.04,89.85,1.34,18.65,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,14.00,,,,,,,,,,,,,,,,,,
p_3,-42.96,-3.04,89.85,1.31,19.96,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,15.00,,,,,,,,,,,,,,,,,,
p_3,-41.57,-3.03,89.85,1.39,21.35,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,16.00,,,,,,,,,,,,,,,,,,
p_3,-40.11,-3.03,89.85,1.45,22.81,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,17.00,,,,,,,,,,,,,,,,,,
p_3,-38.90,-3.03,89.85,1.21,24.02,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,18.00,,,,,,,,,,,,,,,,,,
p_3,-37.52,-3.02,89.85,1.38,25.40,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,19.00,,,,,,,,,,,,,,,,,,
p_3,-36.25,-3.02,89.85,1.27,26.67,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,20.00,t_1,127.79,3.01,270.70,DEFAULT_VEHTYPE,0.00,5.10,-E2_1,0.00,,,,,,,,,
p_3,-34.79,-3.02,89.85,1.46,28.13,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,21.00,t_1,125.80,3.04,270.70,DEFAULT_VEHTYPE,1.99,7.09,-E2_1,0.00,,,,,,,,,
p_3,-33.47,-3.01,89.85,1.32,29.45,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,22.00,t_1,122.32,3.08,270.70,DEFAULT_VEHTYPE,3.48,10.57,-E2_1,0.00,,,,,,,,,
p_3,-32.09,-3.01,89.85,1.38,30.83,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,23.00,t_1,116.83,3.15,270.70,DEFAULT_VEHTYPE,5.49,16.06,-E2_1,0.00,,,,,,,,,
p_3,-30.80,-3.01,89.85,1.29,32.12,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,24.00,t_1,109.86,3.23,270.70,DEFAULT_VEHTYPE,6.97,23.03,-E2_1,0.00,,,,,,,,,
p_3,-29.61,-3.00,89.85,1.20,33.31,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,25.00,t_1,101.48,3.33,270.70,DEFAULT_VEHTYPE,8.37,31.41,-E2_1,0.00,,,,,,,,,
p_3,-28.38,-3.00,89.85,1.23,34.54,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,26.00,t_1,91.25,3.46,270.70,DEFAULT_VEHTYPE,10.23,41.64,-E2_1,0.00,,,,,,,,,
p_3,-27.17,-3.00,89.85,1.21,35.75,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,27.00,t_1,81.94,3.57,270.70,DEFAULT_VEHTYPE,9.31,50.95,-E2_1,0.00,,,,,,,,,
p_3,-25.81,-2.99,89.85,1.36,37.11,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,28.00,t_1,76.94,3.63,270.70,DEFAULT_VEHTYPE,5.00,55.95,-E2_1,0.00,,,,,,,,,
p_3,-24.50,-2.99,89.85,1.31,38.42,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,29.00,t_1,69.77,3.66,270.11,DEFAULT_VEHTYPE,7.18,2.52,-E0_1,0.00,,,,,,,,,
p_3,-23.10,-2.99,89.85,1.40,39.82,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,30.00,t_1,60.10,3.64,269.84,DEFAULT_VEHTYPE,9.67,12.19,-E0_1,0.00,,,,,,,,,
p_3,-21.63,-2.98,89.85,1.46,41.29,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,31.00,t_1,48.57,3.60,269.84,DEFAULT_VEHTYPE,11.54,23.72,-E0_1,0.00,,,,,,,,,
p_3,-20.25,-2.98,89.85,1.38,42.67,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,32.00,t_1,35.58,3.57,269.84,DEFAULT_VEHTYPE,12.98,36.71,-E0_1,0.00,,,,,,,,,
p_3,-19.00,-2.98,89.85,1.25,43.92,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,33.00,t_1,22.94,3.53,269.84,DEFAULT_VEHTYPE,12.65,49.35,-E0_1,0.00,,,,,,,,,
p_3,-17.58,-2.97,89.85,1.43,45.34,E0,0.00,DEFAULT_PEDTYPE,c_0,72.27,9.27,179.84,0.00,0.00,-E0,0.00,infra,34.00,t_1,10.07,3.50,269.82,DEFAULT_VEHTYPE,12.87,1.04,-E0.61_0,0.00,,,,,,,,,
